data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_1,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_2,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_3,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_4,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_5,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_6,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_7,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_8,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_9,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_10,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_11,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_12,Noble et al 2025 Ecological Applications,distal comparison with and without,Konza Prairie Biological Station,0.26,Bison bison,579.2553,American Bison,150.606378
dp_13,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_13,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_14,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_14,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_14,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_15,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_16,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_17,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_18,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_19,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_19,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_20,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_20,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_20,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_21,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_22,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_23,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_24,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_25,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_25,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_26,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_26,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_26,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_27,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_28,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_29,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_30,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_31,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_31,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_32,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_32,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_32,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_33,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_34,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_35,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_36,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_37,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_37,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_38,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_38,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_38,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_39,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_40,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_41,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_42,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_43,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_43,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_44,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_44,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_44,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_45,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_46,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_47,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_48,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_49,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_49,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_50,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_50,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_50,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_51,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_52,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_53,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_54,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_55,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_55,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_56,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_56,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_56,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_57,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_58,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_59,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_60,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_61,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_61,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_62,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_62,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_62,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_63,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_64,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_65,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_66,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_67,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_67,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_68,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_68,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_68,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_69,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_70,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_71,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_72,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_73,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_73,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_74,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_74,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_74,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_75,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_76,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_77,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_78,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_79,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_79,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_80,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_80,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_80,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_81,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_82,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_83,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_84,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_85,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_85,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_86,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_86,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_86,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_87,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_88,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_89,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_90,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_91,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_91,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_92,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_92,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_92,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_93,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_94,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_95,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_96,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_97,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_97,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_98,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_98,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_98,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_99,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_100,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_101,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_102,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_103,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_103,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_104,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_104,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_104,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_105,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_106,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_107,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_108,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_109,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_109,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_110,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_110,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_110,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_111,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_112,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_113,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_114,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_115,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_115,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_116,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_116,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_116,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_117,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_118,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_119,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_120,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_121,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_121,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_122,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_122,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_122,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_123,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_124,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_125,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_126,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_127,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_127,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_128,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_128,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_128,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_129,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_130,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_131,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_132,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_133,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_133,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_134,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_134,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_134,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_135,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_136,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_137,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_138,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_139,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_139,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_140,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_140,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_140,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_141,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_142,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_143,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_144,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_145,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_145,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
dp_146,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.16,Equus ferus caballus,300,Horse,48
dp_146,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.12,Bison bonasus,500,European Bison,60
dp_146,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MTR,0.02,Bos primigenius taurus,750,Cattle,15
dp_147,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,DOB,0.2,Equus ferus caballus,300,Horse,60
dp_148,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HAV,0.23,Equus ferus caballus,300,Horse,69
dp_149,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MAS,0.31,Equus ferus caballus,300,Horse,93
dp_150,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,HRK,0.17,Equus ferus caballus,300,Horse,51
dp_151,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.25,Equus ferus caballus,300,Horse,75
dp_151,Kaštovská et al 2025 Science of The Total Environment,distal comparison with and without,MBV,0.09,Bos primigenius taurus,750,Cattle,67.5
