data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,5e-04,Bison bonasus,500,European Bison,0.25
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Bos mutus,546.25,Yak,2.185
dp_311,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.009,Ovis orientalis aries,39.097,Domestic sheep,0.351873
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.008,Bos primigenius taurus,750,Cattle,6
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.02,Equus ferus caballus,300,Horse,6
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.005,Alces alces,356.998,Moose,1.78499
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Ovibos moschatus,340.5011,Muskox,1.3620044
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0175,Bison bison,579.2553,American Bison,10.13696775
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0125,Rangifer tarandus,86.034,Caribou; Reindeer,1.075425
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,5e-04,Bison bonasus,500,European Bison,0.25
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Bos mutus,546.25,Yak,2.185
dp_312,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.009,Ovis orientalis aries,39.097,Domestic sheep,0.351873
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.008,Bos primigenius taurus,750,Cattle,6
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.02,Equus ferus caballus,300,Horse,6
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.005,Alces alces,356.998,Moose,1.78499
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Ovibos moschatus,340.5011,Muskox,1.3620044
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0175,Bison bison,579.2553,American Bison,10.13696775
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.0125,Rangifer tarandus,86.034,Caribou; Reindeer,1.075425
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,5e-04,Bison bonasus,500,European Bison,0.25
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.004,Bos mutus,546.25,Yak,2.185
dp_313,Fischer et al 2022 Biogeosciences,distal comparison with and without,Pleistocene Park,0.009,Ovis orientalis aries,39.097,Domestic sheep,0.351873
dp_314,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.28,Equus ferus caballus,300,Horse,84
dp_315,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.28,Equus ferus caballus,300,Horse,84
dp_316,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.28,Equus ferus caballus,300,Horse,84
dp_317,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.21,Equus ferus caballus,300,Horse,63
dp_318,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.21,Equus ferus caballus,300,Horse,63
dp_319,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.21,Equus ferus caballus,300,Horse,63
dp_320,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.15,Equus ferus caballus,300,Horse,45
dp_321,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.15,Equus ferus caballus,300,Horse,45
dp_322,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.15,Equus ferus caballus,300,Horse,45
dp_323,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.28,Equus ferus caballus,300,Horse,84
dp_324,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.28,Equus ferus caballus,300,Horse,84
dp_325,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.28,Equus ferus caballus,300,Horse,84
dp_326,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.21,Equus ferus caballus,300,Horse,63
dp_327,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.21,Equus ferus caballus,300,Horse,63
dp_328,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.21,Equus ferus caballus,300,Horse,63
dp_329,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.15,Equus ferus caballus,300,Horse,45
dp_330,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.15,Equus ferus caballus,300,Horse,45
dp_331,Moinardeau et al 2021 Global Ecology and Conservation,distal comparison with and without,Donzère-Mondragon,0.15,Equus ferus caballus,300,Horse,45
dp_332,Thulin et al 2025 Animals,inside vs outside exclosure,"Krusenberg estate, property of the Swedish University of Agricultural Sciences (SLU) near Uppsala, Sweden",0.35,Equus ferus caballus,300,Horse,105
dp_333,Thulin et al 2025 Animals,inside vs outside exclosure,"Krusenberg estate, property of the Swedish University of Agricultural Sciences (SLU) near Uppsala, Sweden",0.35,Equus ferus caballus,300,Horse,105
dp_334,Thulin et al 2025 Animals,inside vs outside exclosure,"Krusenberg estate, property of the Swedish University of Agricultural Sciences (SLU) near Uppsala, Sweden",0.35,Equus ferus caballus,300,Horse,105
dp_335,Thulin et al 2025 Animals,inside vs outside exclosure,"Krusenberg estate, property of the Swedish University of Agricultural Sciences (SLU) near Uppsala, Sweden",0.35,Equus ferus caballus,300,Horse,105
