Database,Area,QS_Subject_Area,Subject,ASJC_Code,Restrictive_exclusion
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Chemical Engineering (miscellaneous),1501,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Chemical Health and Safety,1504,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Colloid and Surface Chemistry,1505,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Filtration and Separation,1506,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Fluid Flow and Transfer Processes,1507,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Chemical,Process Chemistry and Technology,1508,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Civil and Structural,Building and Construction,2215,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Civil and Structural,Civil and Structural Engineering,2205,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,Electrical and Electronic Engineering,2208,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,Energy (all),2100,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,Energy (miscellaneous),2101,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,Energy Engineering and Power Technology,2102,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,Fuel Technology,2103,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,Nuclear Energy and Engineering,2104,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - Electrical and Electronic,"Renewable Energy, Sustainability and the Environment",2105,
ASJC (Scopus),Engineering and Technology,Engineering - General,Engineering (all),2200,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - General,Engineering (miscellaneous),2201,Exclude
ASJC (Scopus),Engineering and Technology,Engineering - General,"Safety, Risk, Reliability and Quality",2213,Exclude
ASJC (Scopus),Engineering and Technology,"Engineering - Mechanical, Aeronautical and Manufacturing",Aerospace Engineering,2202,Exclude
ASJC (Scopus),Engineering and Technology,"Engineering - Mechanical, Aeronautical and Manufacturing",Automotive Engineering,2203,Exclude
ASJC (Scopus),Engineering and Technology,"Engineering - Mechanical, Aeronautical and Manufacturing",Computational Mechanics,2206,Exclude
ASJC (Scopus),Engineering and Technology,"Engineering - Mechanical, Aeronautical and Manufacturing",Industrial and Manufacturing Engineering,2209,Exclude
ASJC (Scopus),Engineering and Technology,"Engineering - Mechanical, Aeronautical and Manufacturing",Mechanical Engineering,2210,Exclude
